Dwelling Identifier,Unit No,Street No,Street Name,Dwelling Suburb,Dwelling Postcode,LGA,full_address,lat,lon,google_maps_link
11482,,8,Saxton Street,Kurri Kurri,2327,Cessnock,"8 Saxton Street, Kurri Kurri, 2327, Australia",,,"https://www.google.com/maps/search/?api=1&query=8+Saxton+Street,+Kurri+Kurri,+2327,+Australia"
11532,,15,O'Toole Street,Weston,2326,Cessnock,"15 O'Toole Street, Weston, 2326, Australia",,,"https://www.google.com/maps/search/?api=1&query=15+O'Toole+Street,+Weston,+2326,+Australia"
11536,,11,Moon Street,Wingham,2429,Mid-Coast,"11 Moon Street, Wingham, 2429, Australia",,,"https://www.google.com/maps/search/?api=1&query=11+Moon+Street,+Wingham,+2429,+Australia"
11544,,20,Brown Street,Cessnock,2325,Cessnock,"20 Brown Street, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=20+Brown+Street,+Cessnock,+2325,+Australia"
11564,,5,Oxley Avenue,Singleton Heights,2330,Singleton,"5 Oxley Avenue, Singleton Heights, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=5+Oxley+Avenue,+Singleton+Heights,+2330,+Australia"
11579,,20,Hughes Street,Taree,2430,Mid-Coast,"20 Hughes Street, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=20+Hughes+Street,+Taree,+2430,+Australia"
11605,,19,Wakehurst Crescent,Singleton Heights,2330,Singleton,"19 Wakehurst Crescent, Singleton Heights, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=19+Wakehurst+Crescent,+Singleton+Heights,+2330,+Australia"
11617,,111,Fourth Street,Weston,2326,Cessnock,"111 Fourth Street, Weston, 2326, Australia",,,"https://www.google.com/maps/search/?api=1&query=111+Fourth+Street,+Weston,+2326,+Australia"
11631,,6,Brown Street,Cessnock,2325,Cessnock,"6 Brown Street, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=6+Brown+Street,+Cessnock,+2325,+Australia"
11639,,45,Mudford Street,Taree,2430,Mid-Coast,"45 Mudford Street, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=45+Mudford+Street,+Taree,+2430,+Australia"
11656,,38,Railway Parade,Kurri Kurri,2327,Cessnock,"38 Railway Parade, Kurri Kurri, 2327, Australia",,,"https://www.google.com/maps/search/?api=1&query=38+Railway+Parade,+Kurri+Kurri,+2327,+Australia"
11680,,41,Buchan Avenue,Singleton,2330,Singleton,"41 Buchan Avenue, Singleton, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=41+Buchan+Avenue,+Singleton,+2330,+Australia"
11740,,28,Northcott Avenue,Singleton Heights,2330,Singleton,"28 Northcott Avenue, Singleton Heights, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=28+Northcott+Avenue,+Singleton+Heights,+2330,+Australia"
11927,,39,Marsden Road,Blue Haven,2262,Central Coast (NSW),"39 Marsden Road, Blue Haven, 2262, Australia",,,"https://www.google.com/maps/search/?api=1&query=39+Marsden+Road,+Blue+Haven,+2262,+Australia"
11931,,5,Askernish Drive,Dubbo,2830,Dubbo,"5 Askernish Drive, Dubbo, 2830, Australia",,,"https://www.google.com/maps/search/?api=1&query=5+Askernish+Drive,+Dubbo,+2830,+Australia"
1196,,131,Emu Drive,San Remo,2262,Central Coast (NSW),"131 Emu Drive, San Remo, 2262, Australia",,,"https://www.google.com/maps/search/?api=1&query=131+Emu+Drive,+San+Remo,+2262,+Australia"
11972,,16-18,Margaret Street,Anna Bay,2316,Port Stephens,"16-18 Margaret Street, Anna Bay, 2316, Australia",,,"https://www.google.com/maps/search/?api=1&query=16-18+Margaret+Street,+Anna+Bay,+2316,+Australia"
11978,,155,Bolwarra Park Drive,Bolwarra Heights,2320,Maitland,"155 Bolwarra Park Drive, Bolwarra Heights, 2320, Australia",,,"https://www.google.com/maps/search/?api=1&query=155+Bolwarra+Park+Drive,+Bolwarra+Heights,+2320,+Australia"
11984,,36,Bowline Close,Corlette,2315,Port Stephens,"36 Bowline Close, Corlette, 2315, Australia",,,"https://www.google.com/maps/search/?api=1&query=36+Bowline+Close,+Corlette,+2315,+Australia"
11990,1,19,Alliance Street,East Maitland,2323,Maitland,"19 Alliance Street, East Maitland, 2323, Australia",,,"https://www.google.com/maps/search/?api=1&query=19+Alliance+Street,+East+Maitland,+2323,+Australia"
11996,,60,Rous Street,East Maitland,2323,Maitland,"60 Rous Street, East Maitland, 2323, Australia",,,"https://www.google.com/maps/search/?api=1&query=60+Rous+Street,+East+Maitland,+2323,+Australia"
12002,,58,Rous Street,East Maitland,2323,Maitland,"58 Rous Street, East Maitland, 2323, Australia",,,"https://www.google.com/maps/search/?api=1&query=58+Rous+Street,+East+Maitland,+2323,+Australia"
12014,,115,Awabakal Drive,Fletcher,2287,Newcastle,"115 Awabakal Drive, Fletcher, 2287, Australia",,,"https://www.google.com/maps/search/?api=1&query=115+Awabakal+Drive,+Fletcher,+2287,+Australia"
12026,House 1,12-14,Beauford Avenue,Maryland,2287,Newcastle,"12-14 Beauford Avenue, Maryland, 2287, Australia",,,"https://www.google.com/maps/search/?api=1&query=12-14+Beauford+Avenue,+Maryland,+2287,+Australia"
12044,,43-45,John Street,Cardiff,2285,Lake Macquarie,"43-45 John Street, Cardiff, 2285, Australia",,,"https://www.google.com/maps/search/?api=1&query=43-45+John+Street,+Cardiff,+2285,+Australia"
12050,,35,Joslin Street,Kotara,2289,Newcastle,"35 Joslin Street, Kotara, 2289, Australia",,,"https://www.google.com/maps/search/?api=1&query=35+Joslin+Street,+Kotara,+2289,+Australia"
12062,,69,Young Road,Lambton,2299,Newcastle,"69 Young Road, Lambton, 2299, Australia",,,"https://www.google.com/maps/search/?api=1&query=69+Young+Road,+Lambton,+2299,+Australia"
12068,,55,Morehead Road,North Lambton,2299,Newcastle,"55 Morehead Road, North Lambton, 2299, Australia",,,"https://www.google.com/maps/search/?api=1&query=55+Morehead+Road,+North+Lambton,+2299,+Australia"
12074,,40,Marton Street,Shortland,2307,Newcastle,"40 Marton Street, Shortland, 2307, Australia",,,"https://www.google.com/maps/search/?api=1&query=40+Marton+Street,+Shortland,+2307,+Australia"
12080,,38,Marton Street,Shortland,2307,Newcastle,"38 Marton Street, Shortland, 2307, Australia",,,"https://www.google.com/maps/search/?api=1&query=38+Marton+Street,+Shortland,+2307,+Australia"
12092,,96,Douglas Street,Stockton,2295,Newcastle,"96 Douglas Street, Stockton, 2295, Australia",,,"https://www.google.com/maps/search/?api=1&query=96+Douglas+Street,+Stockton,+2295,+Australia"
12098,1,5,Martindale Street,Wallsend,2287,Newcastle,"5 Martindale Street, Wallsend, 2287, Australia",,,"https://www.google.com/maps/search/?api=1&query=5+Martindale+Street,+Wallsend,+2287,+Australia"
12104,1,15,Crest Road,Wallsend,2287,Newcastle,"15 Crest Road, Wallsend, 2287, Australia",,,"https://www.google.com/maps/search/?api=1&query=15+Crest+Road,+Wallsend,+2287,+Australia"
12110,,20,Chalmers Road,Wallsend,2287,Newcastle,"20 Chalmers Road, Wallsend, 2287, Australia",,,"https://www.google.com/maps/search/?api=1&query=20+Chalmers+Road,+Wallsend,+2287,+Australia"
12140,,60,Evans Street,Belmont,2280,Lake Macquarie,"60 Evans Street, Belmont, 2280, Australia",,,"https://www.google.com/maps/search/?api=1&query=60+Evans+Street,+Belmont,+2280,+Australia"
12146,,7,Gommera Street,Blacksmiths,2281,Lake Macquarie,"7 Gommera Street, Blacksmiths, 2281, Australia",,,"https://www.google.com/maps/search/?api=1&query=7+Gommera+Street,+Blacksmiths,+2281,+Australia"
12152,,5,Gommera Street,Blacksmiths,2281,Lake Macquarie,"5 Gommera Street, Blacksmiths, 2281, Australia",,,"https://www.google.com/maps/search/?api=1&query=5+Gommera+Street,+Blacksmiths,+2281,+Australia"
12158,House 1,19,Auklet Road,Mount Hutton,2290,Lake Macquarie,"19 Auklet Road, Mount Hutton, 2290, Australia",,,"https://www.google.com/maps/search/?api=1&query=19+Auklet+Road,+Mount+Hutton,+2290,+Australia"
12164,House 2,19,Auklet Road,Mount Hutton,2290,Lake Macquarie,"19 Auklet Road, Mount Hutton, 2290, Australia",,,"https://www.google.com/maps/search/?api=1&query=19+Auklet+Road,+Mount+Hutton,+2290,+Australia"
12170,1,29,Helen Street,Mount Hutton,2290,Lake Macquarie,"29 Helen Street, Mount Hutton, 2290, Australia",,,"https://www.google.com/maps/search/?api=1&query=29+Helen+Street,+Mount+Hutton,+2290,+Australia"
12176,,66,Grand Parade,Bonnells Bay,2264,Lake Macquarie,"66 Grand Parade, Bonnells Bay, 2264, Australia",,,"https://www.google.com/maps/search/?api=1&query=66+Grand+Parade,+Bonnells+Bay,+2264,+Australia"
12201,4,168,Station Street,Bonnells Bay,2264,Lake Macquarie,"168 Station Street, Bonnells Bay, 2264, Australia",,,"https://www.google.com/maps/search/?api=1&query=168+Station+Street,+Bonnells+Bay,+2264,+Australia"
12231,House 2,107,Freemans Drive,Morisset,2264,Lake Macquarie,"107 Freemans Drive, Morisset, 2264, Australia",,,"https://www.google.com/maps/search/?api=1&query=107+Freemans+Drive,+Morisset,+2264,+Australia"
12243,,106,Cherry Street,Ballina,2478,Ballina,"106 Cherry Street, Ballina, 2478, Australia",,,"https://www.google.com/maps/search/?api=1&query=106+Cherry+Street,+Ballina,+2478,+Australia"
12255,,12,Marana Street,Bilambil Heights,2486,Tweed,"12 Marana Street, Bilambil Heights, 2486, Australia",,,"https://www.google.com/maps/search/?api=1&query=12+Marana+Street,+Bilambil+Heights,+2486,+Australia"
12273,,88,Darley Street,Shellharbour (for 1 Illawarra),2259,Shellharbour,"88 Darley Street, Shellharbour (for 1 Illawarra), 2259, Australia",,,"https://www.google.com/maps/search/?api=1&query=88+Darley+Street,+Shellharbour+(for+1+Illawarra),+2259,+Australia"
12297,1,73,Palmer Street,Dubbo,2830,Dubbo,"73 Palmer Street, Dubbo, 2830, Australia",,,"https://www.google.com/maps/search/?api=1&query=73+Palmer+Street,+Dubbo,+2830,+Australia"
12315,,1,Nandina Avenue,Lake Albert,2650,Wagga Wagga,"1 Nandina Avenue, Lake Albert, 2650, Australia",,,"https://www.google.com/maps/search/?api=1&query=1+Nandina+Avenue,+Lake+Albert,+2650,+Australia"
12321,House 1,6-8,Archbold Road,Long Jetty,2261,Central Coast (NSW),"6-8 Archbold Road, Long Jetty, 2261, Australia",,,"https://www.google.com/maps/search/?api=1&query=6-8+Archbold+Road,+Long+Jetty,+2261,+Australia"
12327,House 2,6-8,Archbold Road,Long Jetty,2261,Central Coast (NSW),"6-8 Archbold Road, Long Jetty, 2261, Australia",,,"https://www.google.com/maps/search/?api=1&query=6-8+Archbold+Road,+Long+Jetty,+2261,+Australia"
12534,3,34,Milray Street,Swansea,2281,Lake Macquarie,"34 Milray Street, Swansea, 2281, Australia",,,"https://www.google.com/maps/search/?api=1&query=34+Milray+Street,+Swansea,+2281,+Australia"
12565,,11,Provan Place,Dubbo,2830,Dubbo,"11 Provan Place, Dubbo, 2830, Australia",,,"https://www.google.com/maps/search/?api=1&query=11+Provan+Place,+Dubbo,+2830,+Australia"
12615,,34,Dunheved Circle,Dubbo,2830,Dubbo,"34 Dunheved Circle, Dubbo, 2830, Australia",,,"https://www.google.com/maps/search/?api=1&query=34+Dunheved+Circle,+Dubbo,+2830,+Australia"
1273,,3,Lae Street,Muswellbrook,2333,Muswellbrook,"3 Lae Street, Muswellbrook, 2333, Australia",,,"https://www.google.com/maps/search/?api=1&query=3+Lae+Street,+Muswellbrook,+2333,+Australia"
12822,,20,Vista Parade,Kotara,2289,Newcastle,"20 Vista Parade, Kotara, 2289, Australia",,,"https://www.google.com/maps/search/?api=1&query=20+Vista+Parade,+Kotara,+2289,+Australia"
1323,,32,St Heliers Street,Aberdeen,2336,Upper Hunter,"32 St Heliers Street, Aberdeen, 2336, Australia",,,"https://www.google.com/maps/search/?api=1&query=32+St+Heliers+Street,+Aberdeen,+2336,+Australia"
13266,,44,Maize Street,Tenambit,2323,Maitland,"44 Maize Street, Tenambit, 2323, Australia",,,"https://www.google.com/maps/search/?api=1&query=44+Maize+Street,+Tenambit,+2323,+Australia"
13380,,18,Yulong Street,Dubbo,2830,Dubbo,"18 Yulong Street, Dubbo, 2830, Australia",,,"https://www.google.com/maps/search/?api=1&query=18+Yulong+Street,+Dubbo,+2830,+Australia"
13406,,37A,McKeachie Drive,Aberglassyn,2320,Maitland,"37A McKeachie Drive, Aberglassyn, 2320, Australia",,,"https://www.google.com/maps/search/?api=1&query=37A+McKeachie+Drive,+Aberglassyn,+2320,+Australia"
13426,,8,Farquhar Street,Wingham,2429,Mid-Coast,"8 Farquhar Street, Wingham, 2429, Australia",,,"https://www.google.com/maps/search/?api=1&query=8+Farquhar+Street,+Wingham,+2429,+Australia"
13561,,30,York Street,Dubbo,2830,Dubbo,"30 York Street, Dubbo, 2830, Australia",,,"https://www.google.com/maps/search/?api=1&query=30+York+Street,+Dubbo,+2830,+Australia"
1360,,22,Glover Street,Belmont,2280,Lake Macquarie,"22 Glover Street, Belmont, 2280, Australia",,,"https://www.google.com/maps/search/?api=1&query=22+Glover+Street,+Belmont,+2280,+Australia"
1384,,13,Carr Place,Beresfield,2322,Newcastle,"13 Carr Place, Beresfield, 2322, Australia",,,"https://www.google.com/maps/search/?api=1&query=13+Carr+Place,+Beresfield,+2322,+Australia"
1388,,18,Carr Place,Beresfield,2322,Newcastle,"18 Carr Place, Beresfield, 2322, Australia",,,"https://www.google.com/maps/search/?api=1&query=18+Carr+Place,+Beresfield,+2322,+Australia"
13912,,9,Augusta Close,Heddon Greta,2321,Cessnock,"9 Augusta Close, Heddon Greta, 2321, Australia",,,"https://www.google.com/maps/search/?api=1&query=9+Augusta+Close,+Heddon+Greta,+2321,+Australia"
14005,,58,Ridgeview Drive,Cliftleigh,2321,Cessnock,"58 Ridgeview Drive, Cliftleigh, 2321, Australia",,,"https://www.google.com/maps/search/?api=1&query=58+Ridgeview+Drive,+Cliftleigh,+2321,+Australia"
14127,,40,Chifley Street,Dubbo,2830,Dubbo,"40 Chifley Street, Dubbo, 2830, Australia",,,"https://www.google.com/maps/search/?api=1&query=40+Chifley+Street,+Dubbo,+2830,+Australia"
14195,,31a,Rawmarsh Street,Farley,2320,Maitland,"31a Rawmarsh Street, Farley, 2320, Australia",,,"https://www.google.com/maps/search/?api=1&query=31a+Rawmarsh+Street,+Farley,+2320,+Australia"
14196,,31b,Rawmarsh Street,Farley,2320,Maitland,"31b Rawmarsh Street, Farley, 2320, Australia",,,"https://www.google.com/maps/search/?api=1&query=31b+Rawmarsh+Street,+Farley,+2320,+Australia"
14415,,162,Osborne Road,Mitchelton,4053,Brisbane,"162 Osborne Road, Mitchelton, 4053, Australia",,,"https://www.google.com/maps/search/?api=1&query=162+Osborne+Road,+Mitchelton,+4053,+Australia"
14420,,164,Osborne Road,Mitchelton,4053,Brisbane,"164 Osborne Road, Mitchelton, 4053, Australia",,,"https://www.google.com/maps/search/?api=1&query=164+Osborne+Road,+Mitchelton,+4053,+Australia"
14443,1,34,Mapplewell Circuit,Farley,2320,Maitland,"34 Mapplewell Circuit, Farley, 2320, Australia",,,"https://www.google.com/maps/search/?api=1&query=34+Mapplewell+Circuit,+Farley,+2320,+Australia"
14475,,21,Braye Street,Mayfield,2304,Newcastle,"21 Braye Street, Mayfield, 2304, Australia",,,"https://www.google.com/maps/search/?api=1&query=21+Braye+Street,+Mayfield,+2304,+Australia"
14502,,1292-1294,Mulgoa Road,Mulgoa,2745,Penrith,"1292-1294 Mulgoa Road, Mulgoa, 2745, Australia",,,"https://www.google.com/maps/search/?api=1&query=1292-1294+Mulgoa+Road,+Mulgoa,+2745,+Australia"
14617,,20,Ferrier Drive,Dubbo,2830,Dubbo,"20 Ferrier Drive, Dubbo, 2830, Australia",,,"https://www.google.com/maps/search/?api=1&query=20+Ferrier+Drive,+Dubbo,+2830,+Australia"
14642,,126,Georgia Drive,Hamlyn Terrace,2259,Central Coast (NSW),"126 Georgia Drive, Hamlyn Terrace, 2259, Australia",,,"https://www.google.com/maps/search/?api=1&query=126+Georgia+Drive,+Hamlyn+Terrace,+2259,+Australia"
14643,,132,Georgia Drive,Hamlyn Terrace,2259,Central Coast (NSW),"132 Georgia Drive, Hamlyn Terrace, 2259, Australia",,,"https://www.google.com/maps/search/?api=1&query=132+Georgia+Drive,+Hamlyn+Terrace,+2259,+Australia"
14644,,128,Georgia Drive,Hamlyn Terrace,2259,Central Coast (NSW),"128 Georgia Drive, Hamlyn Terrace, 2259, Australia",,,"https://www.google.com/maps/search/?api=1&query=128+Georgia+Drive,+Hamlyn+Terrace,+2259,+Australia"
14695,,20,Softwood Street,Spring Farm,2570,Camden,"20 Softwood Street, Spring Farm, 2570, Australia",,,"https://www.google.com/maps/search/?api=1&query=20+Softwood+Street,+Spring+Farm,+2570,+Australia"
14761,1,19,Anthony Street,Blacktown,2148,Blacktown,"19 Anthony Street, Blacktown, 2148, Australia",,,"https://www.google.com/maps/search/?api=1&query=19+Anthony+Street,+Blacktown,+2148,+Australia"
14792,,40,Blaxcell Street,Granville,1830,Cumberland,"40 Blaxcell Street, Granville, 1830, Australia",,,"https://www.google.com/maps/search/?api=1&query=40+Blaxcell+Street,+Granville,+1830,+Australia"
14921,,38,Violet Road,Hamlyn Terrace,2259,Central Coast (NSW),"38 Violet Road, Hamlyn Terrace, 2259, Australia",,,"https://www.google.com/maps/search/?api=1&query=38+Violet+Road,+Hamlyn+Terrace,+2259,+Australia"
14923,,106,Georgia Drive,Hamlyn Terrace,2259,Central Coast (NSW),"106 Georgia Drive, Hamlyn Terrace, 2259, Australia",-33.2564995,151.4857417,"https://www.google.com/maps/search/?api=1&query=106+Georgia+Drive,+Hamlyn+Terrace,+2259,+Australia"
14955,,3,Beaufort Avenue,Austral,2171,Liverpool,"3 Beaufort Avenue, Austral, 2171, Australia",-33.9147824,150.8178258,"https://www.google.com/maps/search/?api=1&query=3+Beaufort+Avenue,+Austral,+2171,+Australia"
14964,,48,Stonebridge Drive,Cessnock,2323,Cessnock,"48 Stonebridge Drive, Cessnock, 2323, Australia",-32.8279412,151.3385348,"https://www.google.com/maps/search/?api=1&query=48+Stonebridge+Drive,+Cessnock,+2323,+Australia"
15092,,13,Croft Street,Thornton,2322,Maitland,"13 Croft Street, Thornton, 2322, Australia",,,"https://www.google.com/maps/search/?api=1&query=13+Croft+Street,+Thornton,+2322,+Australia"
15146,,24,Primrose Drive,Hamlyn Terrace,2259,Central Coast (NSW),"24 Primrose Drive, Hamlyn Terrace, 2259, Australia",-33.2528141,151.4799254,"https://www.google.com/maps/search/?api=1&query=24+Primrose+Drive,+Hamlyn+Terrace,+2259,+Australia"
15230,,25,Mudford Street,Taree,2430,Mid-Coast,"25 Mudford Street, Taree, 2430, Australia",-31.8808545,152.4608468,"https://www.google.com/maps/search/?api=1&query=25+Mudford+Street,+Taree,+2430,+Australia"
15267,1,12,Landsborough Close,Westdale,2340,Tamworth,"12 Landsborough Close, Westdale, 2340, Australia",-31.0988166,150.8779406,"https://www.google.com/maps/search/?api=1&query=12+Landsborough+Close,+Westdale,+2340,+Australia"
15271,,120,Randalls Road,Bucca,2450,Coffs Harbour,"120 Randalls Road, Bucca, 2450, Australia",-30.1293825,153.0636231,"https://www.google.com/maps/search/?api=1&query=120+Randalls+Road,+Bucca,+2450,+Australia"
15398,,7,Collins Avenue,Dubbo,2830,Dubbo,"7 Collins Avenue, Dubbo, 2830, Australia",-32.2398336,148.6354562,"https://www.google.com/maps/search/?api=1&query=7+Collins+Avenue,+Dubbo,+2830,+Australia"
1548,,133,Creedon Street,Broken Hill,2880,Broken Hill,"133 Creedon Street, Broken Hill, 2880, Australia",-31.967578250000003,141.4338575,"https://www.google.com/maps/search/?api=1&query=133+Creedon+Street,+Broken+Hill,+2880,+Australia"
15483,,60,Rhythm Drive,Ripley,4306,Ipswich,"60 Rhythm Drive, Ripley, 4306, Australia",,,"https://www.google.com/maps/search/?api=1&query=60+Rhythm+Drive,+Ripley,+4306,+Australia"
1555,,97,Creedon Street,Broken Hill,2880,Broken Hill,"97 Creedon Street, Broken Hill, 2880, Australia",-31.969788100000002,141.4357254924194,"https://www.google.com/maps/search/?api=1&query=97+Creedon+Street,+Broken+Hill,+2880,+Australia"
15559,,58,Derbyshire Road,Springfarm,2570,Camden,"58 Derbyshire Road, Springfarm, 2570, Australia",,,"https://www.google.com/maps/search/?api=1&query=58+Derbyshire+Road,+Springfarm,+2570,+Australia"
15658,,14,Cardigan Close,Melton South,3338,Melton,"14 Cardigan Close, Melton South, 3338, Australia",-37.7096468,144.5618968,"https://www.google.com/maps/search/?api=1&query=14+Cardigan+Close,+Melton+South,+3338,+Australia"
15659,,37,Tussock Drive,White Hills,3550,Greater Bendigo,"37 Tussock Drive, White Hills, 3550, Australia",-36.7222492,144.3085247,"https://www.google.com/maps/search/?api=1&query=37+Tussock+Drive,+White+Hills,+3550,+Australia"
15675,,11,Cardigan Close,Melton South,3338,Melton,"11 Cardigan Close, Melton South, 3338, Australia",-37.7096468,144.5618968,"https://www.google.com/maps/search/?api=1&query=11+Cardigan+Close,+Melton+South,+3338,+Australia"
15775,,14,Beveridge Crescent,Dubbo,2830,Dubbo,"14 Beveridge Crescent, Dubbo, 2830, Australia",-32.2728739,148.6140969,"https://www.google.com/maps/search/?api=1&query=14+Beveridge+Crescent,+Dubbo,+2830,+Australia"
15782,,14,Leumeah Place,Bolton Point,2283,Lake Macquarie,"14 Leumeah Place, Bolton Point, 2283, Australia",-32.9937446,151.6068197,"https://www.google.com/maps/search/?api=1&query=14+Leumeah+Place,+Bolton+Point,+2283,+Australia"
15834,,12,Dragon Avenue,Morayfield,4506,Moreton Bay,"12 Dragon Avenue, Morayfield, 4506, Australia",-27.1204264,152.9517428,"https://www.google.com/maps/search/?api=1&query=12+Dragon+Avenue,+Morayfield,+4506,+Australia"
15858,,14,Cunningham Street,Dubbo,2830,Dubbo,"14 Cunningham Street, Dubbo, 2830, Australia",-32.2470935,148.6374406,"https://www.google.com/maps/search/?api=1&query=14+Cunningham+Street,+Dubbo,+2830,+Australia"
15868,,17,Wilton Grove,Woongarrah,2259,Central Coast (NSW),"17 Wilton Grove, Woongarrah, 2259, Australia",-33.2404186,151.4591482,"https://www.google.com/maps/search/?api=1&query=17+Wilton+Grove,+Woongarrah,+2259,+Australia"
15893,,80,Catherine Drive,Dubbo,2830,Dubbo,"80 Catherine Drive, Dubbo, 2830, Australia",-32.2378917,148.588292,"https://www.google.com/maps/search/?api=1&query=80+Catherine+Drive,+Dubbo,+2830,+Australia"
1597,,269,Knox Street,Broken Hill,2880,Broken Hill,"269 Knox Street, Broken Hill, 2880, Australia",-31.984228,141.4718047,"https://www.google.com/maps/search/?api=1&query=269+Knox+Street,+Broken+Hill,+2880,+Australia"
15973,,10,Ann Street,Taree,2430,Mid-Coast,"10 Ann Street, Taree, 2430, Australia",-31.8973128,152.4656024,"https://www.google.com/maps/search/?api=1&query=10+Ann+Street,+Taree,+2430,+Australia"
16007,,21,Burlington Close,Cameron Park,2285,Lake Macquarie,"21 Burlington Close, Cameron Park, 2285, Australia",-32.9177057,151.6207856,"https://www.google.com/maps/search/?api=1&query=21+Burlington+Close,+Cameron+Park,+2285,+Australia"
16011,,9,Vincent Avenue,Sippy Downs,4556,Sunshine Coast,"9 Vincent Avenue, Sippy Downs, 4556, Australia",-26.7298423,153.0776361,"https://www.google.com/maps/search/?api=1&query=9+Vincent+Avenue,+Sippy+Downs,+4556,+Australia"
16044,,4,Benendarah Way,Tullimbar,2527,Wollongong,"4 Benendarah Way, Tullimbar, 2527, Australia",,,"https://www.google.com/maps/search/?api=1&query=4+Benendarah+Way,+Tullimbar,+2527,+Australia"
16049,,1,Dresden Street,Bald Hills,4036,Brisbane,"1 Dresden Street, Bald Hills, 4036, Australia",-27.3182607,153.0145141,"https://www.google.com/maps/search/?api=1&query=1+Dresden+Street,+Bald+Hills,+4036,+Australia"
16077,,34,Howard Ave,Dubbo,2830,Dubbo,"34 Howard Ave, Dubbo, 2830, Australia",-32.2448805,148.5865739,"https://www.google.com/maps/search/?api=1&query=34+Howard+Ave,+Dubbo,+2830,+Australia"
1617,,657,McGowen Street,Broken Hill,2880,Broken Hill,"657 McGowen Street, Broken Hill, 2880, Australia",-31.9390856,141.4722046,"https://www.google.com/maps/search/?api=1&query=657+McGowen+Street,+Broken+Hill,+2880,+Australia"
1618,,661,McGowen Street,Broken Hill,2880,Broken Hill,"661 McGowen Street, Broken Hill, 2880, Australia",-31.9390856,141.4722046,"https://www.google.com/maps/search/?api=1&query=661+McGowen+Street,+Broken+Hill,+2880,+Australia"
1620,,668,McGowen Street,Broken Hill,2880,Broken Hill,"668 McGowen Street, Broken Hill, 2880, Australia",-31.9390856,141.4722046,"https://www.google.com/maps/search/?api=1&query=668+McGowen+Street,+Broken+Hill,+2880,+Australia"
1621,,672,McGowen Street,Broken Hill,2880,Broken Hill,"672 McGowen Street, Broken Hill, 2880, Australia",-31.9390856,141.4722046,"https://www.google.com/maps/search/?api=1&query=672+McGowen+Street,+Broken+Hill,+2880,+Australia"
1622,,674,McGowen Street,Broken Hill,2880,Broken Hill,"674 McGowen Street, Broken Hill, 2880, Australia",-31.9390856,141.4722046,"https://www.google.com/maps/search/?api=1&query=674+McGowen+Street,+Broken+Hill,+2880,+Australia"
1639,,37,Nicholls Street,Broken Hill,2880,Broken Hill,"37 Nicholls Street, Broken Hill, 2880, Australia",-31.9649261,141.4396279,"https://www.google.com/maps/search/?api=1&query=37+Nicholls+Street,+Broken+Hill,+2880,+Australia"
1640,,611,O'Neill Street,Broken Hill,2880,Broken Hill,"611 O'Neill Street, Broken Hill, 2880, Australia",-31.9361366,141.4689704,"https://www.google.com/maps/search/?api=1&query=611+O'Neill+Street,+Broken+Hill,+2880,+Australia"
1669,,329,Williams Street,Broken Hill,2880,Broken Hill,"329 Williams Street, Broken Hill, 2880, Australia",-31.9585594,141.4428178,"https://www.google.com/maps/search/?api=1&query=329+Williams+Street,+Broken+Hill,+2880,+Australia"
1780,,18,Crinoline Street,Denman,2328,Muswellbrook,"18 Crinoline Street, Denman, 2328, Australia",-32.3878303,150.6901208,"https://www.google.com/maps/search/?api=1&query=18+Crinoline+Street,+Denman,+2328,+Australia"
1784,,13,Martindale Street,Denman,2328,Muswellbrook,"13 Martindale Street, Denman, 2328, Australia",-32.3824976,150.6879075,"https://www.google.com/maps/search/?api=1&query=13+Martindale+Street,+Denman,+2328,+Australia"
1942,,2,Fairleigh Street,Glendale,2285,Lake Macquarie,"2 Fairleigh Street, Glendale, 2285, Australia",-32.9281579,151.6406269,"https://www.google.com/maps/search/?api=1&query=2+Fairleigh+Street,+Glendale,+2285,+Australia"
1985,,8,Poyner Avenue,Glendale,2285,Lake Macquarie,"8 Poyner Avenue, Glendale, 2285, Australia",-32.9295687,151.6465189,"https://www.google.com/maps/search/?api=1&query=8+Poyner+Avenue,+Glendale,+2285,+Australia"
2032,,8,Figtree Place,Hamilton,2303,Newcastle,"8 Figtree Place, Hamilton, 2303, Australia",,,"https://www.google.com/maps/search/?api=1&query=8+Figtree+Place,+Hamilton,+2303,+Australia"
2071,17,10,Hexham Street,Kahibah,2290,Lake Macquarie,"10 Hexham Street, Kahibah, 2290, Australia",-32.9628867,151.7135638,"https://www.google.com/maps/search/?api=1&query=10+Hexham+Street,+Kahibah,+2290,+Australia"
2086,8,10,Hexham Street,Kahibah,2290,Lake Macquarie,"10 Hexham Street, Kahibah, 2290, Australia",-32.9628867,151.7135638,"https://www.google.com/maps/search/?api=1&query=10+Hexham+Street,+Kahibah,+2290,+Australia"
